dummy	route	year	routename	ecoprov	openwater	developed	barren	forested	shrub	grasslands	crops	wetlands
73	74	2020	Bigfork	Laurentian	0.072297192	0.030725401	0	0.43605939	0.007584758	0.019992332	0.000369083	0.432971844
74	75	2018	Blackduck	Laurentian	0.070674917	0.029280062	0.000712106	0.479769558	0.009804241	0.014768007	0.000995877	0.393995233
75	102	2018	Chatfield	Broadleaf	0.000445379	0.03720849	0.000145108	0.26918385	9.40E-05	0.247540428	0.430395659	0.014987128
76	139	2016	CassLake	Laurentian	0.097752312	0.023483772	8.26E-05	0.532574683	0.014192381	0.004208891	5.48E-05	0.327650482
77	139	2017	CassLake	Laurentian	0.097752312	0.023483772	8.26E-05	0.532574683	0.014192381	0.004208891	5.48E-05	0.327650482
78	139	2018	CassLake	Laurentian	0.097752312	0.023483772	8.26E-05	0.532574683	0.014192381	0.004208891	5.48E-05	0.327650482
79	139	2019	CassLake	Laurentian	0.097752312	0.023483772	8.26E-05	0.532574683	0.014192381	0.004208891	5.48E-05	0.327650482
80	139	2020	CassLake	Laurentian	0.097752312	0.023483772	8.26E-05	0.532574683	0.014192381	0.004208891	5.48E-05	0.327650482
81	140	2020	Nebish	Laurentian	0.163028208	0.045899253	6.25E-05	0.386097493	0.005021882	0.063803617	0.035596426	0.300490656
82	153	2017	Caledonia	Broadleaf	0.00146672	0.039741906	0.000305935	0.532464623	0.000415279	0.293993465	0.090679155	0.040932917
83	400	2016	Elysian	Broadleaf	0.206609133	0.07351512	0.002149341	0.103287164	0.000680736	0.153427199	0.416352147	0.043979162
84	400	2017	Elysian	Broadleaf	0.206609133	0.07351512	0.002149341	0.103287164	0.000680736	0.153427199	0.416352147	0.043979162
85	400	2018	Elysian	Broadleaf	0.206609133	0.07351512	0.002149341	0.103287164	0.000680736	0.153427199	0.416352147	0.043979162
86	400	2019	Elysian	Broadleaf	0.206609133	0.07351512	0.002149341	0.103287164	0.000680736	0.153427199	0.416352147	0.043979162
87	401	2017	LakeElmo	Broadleaf	0.064224251	0.267031685	0.001317959	0.16531098	0.000984204	0.287028383	0.19858534	0.015517198
88	401	2020	LakeElmo	Broadleaf	0.064224251	0.267031685	0.001317959	0.16531098	0.000984204	0.287028383	0.19858534	0.015517198
89	402	2018	Stillwater	Broadleaf	0.130083761	0.070140668	0.000750857	0.417847885	0.0012826	0.242879335	0.10369705	0.033317843
90	402	2020	Stillwater	Broadleaf	0.130083761	0.070140668	0.000750857	0.417847885	0.0012826	0.242879335	0.10369705	0.033317843
91	403	2018	ElkRiver	Broadleaf	0.096411592	0.092584474	0.000388534	0.218378067	0.000254085	0.110572225	0.043960524	0.437450499
92	403	2019	ElkRiver	Broadleaf	0.096411592	0.092584474	0.000388534	0.218378067	0.000254085	0.110572225	0.043960524	0.437450499
93	403	2020	ElkRiver	Broadleaf	0.096411592	0.092584474	0.000388534	0.218378067	0.000254085	0.110572225	0.043960524	0.437450499
94	404	2019	Bloomington	Broadleaf	0.061702491	0.701980275	0.013548403	0.066902036	0.002147126	0.020016894	0.001341784	0.132360991
95	404	2020	Bloomington	Broadleaf	0.061702491	0.701980275	0.013548403	0.066902036	0.002147126	0.020016894	0.001341784	0.132360991
96	405	2019	DeerRiver	Broadleaf	0.119260701	0.026764382	3.06E-05	0.4412742	0.002847867	0.015846633	0.002580171	0.391395441
97	405	2020	DeerRiver	Broadleaf	0.119260701	0.026764382	3.06E-05	0.4412742	0.002847867	0.015846633	0.002580171	0.391395441
98	900	2016	SherburneNr	Broadleaf	0.08983178	0.023324965	2.85E-05	0.149810707	0.008822212	0.297112835	0.032647112	0.398421879
99	900	2018	SherburneNr	Broadleaf	0.08983178	0.023324965	2.85E-05	0.149810707	0.008822212	0.297112835	0.032647112	0.398421879
100	900	2020	SherburneNr	Broadleaf	0.08983178	0.023324965	2.85E-05	0.149810707	0.008822212	0.297112835	0.032647112	0.398421879
101	902	2017	TamaracNwr	Laurentian	0.128972556	0.021453702	0.004253924	0.592998983	0.023614135	0.013220251	3.92E-05	0.215447285
102	903	2018	Whitewater	Broadleaf	0.000357318	0.027763973	0.000330302	0.519029008	0.002793471	0.143031244	0.294909398	0.011785287
