trap,replacement notes,year,province,onekm,H_annulatus,H_leptocephalus,H_mesillae,H_carinata,M_campanulae,M_inermis,M_lapponica,M_mendica,M_inimica,M_frugalis,M_centuncularis,M_brevis,M_rotundata,M_relativa,M_pugnata,O_lignaria,O_pumila,O_tersula,O_albiventris,O_georgica,I_mexicana,A_antilope,A_spinolae,E_foraminatus,S_canadensis,S_cristatus
255,none,2017,EBF,ZumbroFallsWoodsSNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,1,0,1,0
256,none,2017,EBF,CedarCreekCA,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
257,none,2017,PP,"Comfrey,WoodLakeSWMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
258,none,2017,LMF,HappyDancingTurtle,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,none,2017,EBF,NoerenbergGar.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
260,none,2017,EBF,ElmCreekPRwooded,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
261,none,2017,EBF,HylandLakePR-RNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
262,none,2017,EBF,SilverwoodP,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
263,none,2017,EBF,ElmCreekPR-ENC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,2,0
264,none,2017,EBF,LakeRebeccaPR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
265,none,2017,EBF,LandingMNRiverHer.,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,none,2017,EBF,CarverPRopen,0,0,0,4,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
267,none,2017,EBF,Crow-HassanPR,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
268,none,2017,EBF,BakerPR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
